0 0 0 ..GBBB..GCCC.AAHIJ...HIJ.DDH.KEEEFFK
5 5 0 ...BBB.CCC.JAAGHIJ..GHI.DD.H.KEEEFFK G98 C98 A99 J99 D99
5 5 0 ...BBB.CCC.JAAGH.J..GHI..DDHIKEEEFFK G98 C98 A99 I99 J99
5 5 0 BBB......CCCAA.H.J..GHIJDDGHIKEEEFFK G97 B97 A99 I99 D99
5 5 0 ...BBB.CCCIJAAGHIJ..GH...DDH.KEEEFFK G98 C98 A99 I99 J99
5 5 0 BBB....CCC.JAAGHIJ..GHI..DDH.KEEEFFK G98 B97 C98 A99 J99
5 5 0 BBB.....CCC.AA.HIJ..GHIJDDGH.KEEEFFK G97 B97 C99 A99 D99
5 5 0 .BBB....CCC.AA.HIJ..GHIJDDGH.KEEEFFK G97 B98 C99 A99 D99
5 5 0 .BBB...CCC.JAAGHIJ..GHI..DDH.KEEEFFK G98 B98 C98 A99 J99
5 5 0 ..BBB..CCC.JAAGHIJ..GHI..DDH.KEEEFFK G98 B99 C98 A99 J99
5 5 0 ..BBB....CCCAA.H.J..GHIJDDGHIKEEEFFK G97 B99 A99 I99 D99
5 5 0 ..BBBJCCC..JAAGHI...GHI..DDH.KEEEFFK G98 B99 C97 A99 J98
5 5 0 ..BBB.CCC..JAAGHIJ..GHI..DDH.KEEEFFK G98 B99 C97 A99 J99
5 5 0 ...BBB..CCCJAAGHIJ..GHIK.DDH.KEEEFF. G98 C99 A99 J99 K99
5 5 0 BBB..J..CCCJAAGHI...GHI..DDH.KEEEFFK G98 B97 C99 A99 J98
5 5 0 ..BBB...CCCJAAGHIJ..GHI..DDH.KEEEFFK G98 B99 C99 A99 J99
5 5 0 ..BBB.CCC...AAGH.J..GHIJ.DDHIKEEEFFK G98 B99 C97 A99 I99
5 5 0 ..BBB.CCC.I.AAGHIJ..GH.J.DDH.KEEEFFK G98 B99 C97 A99 I99
5 5 0 BBB.....CCCJAAGHIJ..GHI..DDH.KEEEFFK G98 B97 C99 A99 J99
5 5 0 ..BBB.CCCH..AAGHIJ..GHIJ.DD..KEEEFFK G98 B99 C97 A99 H99
5 5 0 .BBB..CCC..JAAGHIJ..GHI..DDH.KEEEFFK G98 B98 C97 A99 J99
5 5 0 .BBB.J..CCCJAAGHI...GHI..DDH.KEEEFFK G98 B98 C99 A99 J98
5 5 0 ..BBBJ..CCCJAAGHI...GHI..DDH.KEEEFFK G98 B99 C99 A99 J98
5 5 0 .BBB..CCC...AAGH.J..GHIJ.DDHIKEEEFFK G98 B98 C97 A99 I99
5 5 0 .BBBI.CCC.I.AAGH.J..GH.J.DDH.KEEEFFK G98 B98 C97 A99 I98
5 5 0 .BBB....CCCJAAGHIJ..GHI..DDH.KEEEFFK G98 B98 C99 A99 J99
5 5 0 .BBB..CCC.I.AAGHIJ..GH.J.DDH.KEEEFFK G98 B98 C97 A99 I99
6 6 0 BBB..JCCC..JAAGHI...GHI.DD.H.KEEEFFK G98 B97 C97 A99 J98 D99
6 6 0 .BBB.JCCC..JAAGHI...GHI.DD.H.KEEEFFK G98 B98 C97 A99 J98 D99
6 6 0 BBB...CCCHI.AAGHIJ..GH.J.DD..KEEEFFK G98 B97 C97 A99 H99 I99
