Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time(in seconds)
40,A,h3,7,63,0.02
40,A,h4,7,63,0.02
41,UCS,NA,10,2086,3.45
41,GBFS,h1,10,254,0.28
41,GBFS,h2,10,254,0.27
41,GBFS,h3,10,254,0.27
41,GBFS,h4,10,254,0.29
41,A,h1,10,1626,2.92
41,A,h2,10,1626,2.92
41,A,h3,10,256,0.31
41,A,h4,10,451,0.55
42,UCS,NA,8,143,0.04
42,GBFS,h1,8,116,0.04
42,GBFS,h2,8,116,0.04
42,GBFS,h3,8,116,0.04
42,GBFS,h4,8,116,0.04
42,A,h1,8,135,0.05
42,A,h2,8,135,0.05
42,A,h3,8,116,0.04
42,A,h4,8,116,0.04
43,UCS,NA,13,633,0.29
43,GBFS,h1,13,262,0.13
43,GBFS,h2,13,262,0.13
43,GBFS,h3,13,262,0.13
43,GBFS,h4,13,262,0.14
43,A,h1,13,534,0.25
43,A,h2,13,534,0.25
43,A,h3,13,260,0.13
43,A,h4,13,362,0.18
44,UCS,NA,18,578,0.22
44,GBFS,h1,20,265,0.09
44,GBFS,h2,20,265,0.08
44,GBFS,h3,20,265,0.09
44,GBFS,h4,20,265,0.09
44,A,h1,18,449,0.18
44,A,h2,18,449,0.19
44,A,h3,21,265,0.09
44,A,h4,18,255,0.1
45,UCS,NA,9,259,0.09
45,GBFS,h1,10,41,0.01
45,GBFS,h2,10,41,0.01
45,GBFS,h3,10,41,0.02
45,GBFS,h4,10,41,0.02
45,A,h1,9,257,0.1
45,A,h2,9,257,0.11
45,A,h3,10,41,0.02
45,A,h4,10,161,0.07
46,UCS,NA,10,1400,1.25
46,GBFS,h1,10,480,0.54
46,GBFS,h2,10,480,0.54
46,GBFS,h3,10,480,0.56
46,GBFS,h4,10,480,0.54
46,A,h1,10,1280,1.16
46,A,h2,10,1280,1.2
46,A,h3,10,488,0.53
46,A,h4,10,813,0.9
47,UCS,NA,12,812,0.42
47,GBFS,h1,12,173,0.08
47,GBFS,h2,12,173,0.08
47,GBFS,h3,12,173,0.08
47,GBFS,h4,12,173,0.09
47,A,h1,12,809,0.44
47,A,h2,12,809,0.45
47,A,h3,12,196,0.09
47,A,h4,12,545,0.34
48,UCS,NA,13,811,0.45
48,GBFS,h1,14,288,0.14
48,GBFS,h2,14,288,0.14
48,GBFS,h3,14,288,0.14
